j=1000
  Avg:0.009559999999999961 Std:0.03120114838655781
j=10000
  Avg:-0.03506000000000049 Std:0.10026626291849115
         3949389 function calls (3903366 primitive calls) in 49.171 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2493    0.002    0.000    0.003    0.000 util.py:111(set_)
     2444    0.002    0.000    0.003    0.000 results.py:136(__new__)
    19650    0.002    0.000    0.002    0.000 font_manager.py:769(get_size)
    11923    0.002    0.000    0.003    0.000 _mathtext.py:2469(<genexpr>)
       44    0.002    0.000    0.005    0.000 {built-in method builtins.eval}
    19962    0.002    0.000    0.002    0.000 font_manager.py:761(get_stretch)
    369/8    0.002    0.000    0.973    0.122 <frozen importlib._bootstrap>:1022(_find_and_load)
    48/38    0.002    0.000    0.006    0.000 {built-in method _imp.exec_dynamic}
      101    0.002    0.000    0.007    0.000 artist.py:139(<listcomp>)
    16959    0.002    0.000    0.002    0.000 {built-in method builtins.id}
     6547    0.002    0.000    0.004    0.000 sre_parse.py:255(get)
  358/357    0.002    0.000    0.027    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
 1859/260    0.002    0.000    0.002    0.000 {built-in method _abc._abc_subclasscheck}
      718    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:100(acquire)
      349    0.002    0.000    0.009    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
    19962    0.002    0.000    0.002    0.000 font_manager.py:746(get_variant)
    19962    0.002    0.000    0.002    0.000 font_manager.py:739(get_style)
    19962    0.002    0.000    0.002    0.000 font_manager.py:727(get_family)
   552/72    0.002    0.000    0.943    0.013 <frozen importlib._bootstrap>:1053(_handle_fromlist)
    19962    0.002    0.000    0.002    0.000 font_manager.py:752(get_weight)
       37    0.002    0.000    1.125    0.030 __init__.py:1(<module>)
    350/8    0.002    0.000    0.972    0.122 <frozen importlib._bootstrap>:664(_load_unlocked)
      316    0.002    0.000    0.013    0.000 overrides.py:170(decorator)
3716/3220    0.002    0.000    0.003    0.000 artist.py:290(stale)
       28    0.002    0.000    0.003    0.000 __init__.py:328(namedtuple)
     4210    0.002    0.000    0.002    0.000 {built-in method builtins.sorted}
      286    0.002    0.000    0.007    0.000 overrides.py:88(verify_matching_signatures)
      718    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:125(release)
      348    0.001    0.000    0.006    0.000 artist.py:1046(update)
       25    0.001    0.000    0.004    0.000 enum.py:180(__new__)
     3513    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
  521/225    0.001    0.000    0.026    0.000 sre_parse.py:436(_parse_sub)
      390    0.001    0.000    0.002    0.000 __init__.py:1691(normalize_kwargs)
    365/8    0.001    0.000    0.973    0.122 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
      413    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
      188    0.001    0.000    0.001    0.000 colors.py:1001(<listcomp>)
      346    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
      622    0.001    0.000    0.005    0.000 _inspect.py:96(getargspec)
     1265    0.001    0.000    0.014    0.000 __init__.py:623(__setitem__)
       83    0.001    0.000    0.001    0.000 {built-in method _imp.source_hash}
     9349    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
     1356    0.001    0.000    0.005    0.000 {built-in method builtins.any}
      513    0.001    0.000    0.001    0.000 core.py:455(__init__)
     4947    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
        2    0.001    0.001    0.003    0.002 decoder.py:343(raw_decode)
      416    0.001    0.000    0.003    0.000 copy.py:66(copy)
   436/21    0.001    0.000    0.942    0.045 {built-in method builtins.__import__}
      251    0.001    0.000    0.001    0.000 transforms.py:207(set_children)
      380    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
      313    0.001    0.000    0.005    0.000 function_base.py:475(add_newdoc)
     2213    0.001    0.000    0.001    0.000 {method 'match' of 're.Pattern' objects}
