         12317905 function calls (12276807 primitive calls) in 15.128 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  375/374    0.002    0.000    0.026    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
 1865/275    0.002    0.000    0.002    0.000 {built-in method _abc._abc_subclasscheck}
    20002    0.002    0.000    0.002    0.000 font_manager.py:739(get_style)
    20002    0.002    0.000    0.002    0.000 font_manager.py:727(get_family)
       44    0.002    0.000    0.004    0.000 {built-in method builtins.eval}
      316    0.002    0.000    0.013    0.000 overrides.py:170(decorator)
    20002    0.002    0.000    0.002    0.000 font_manager.py:746(get_variant)
    20002    0.002    0.000    0.002    0.000 font_manager.py:752(get_weight)
    376/8    0.002    0.000    0.998    0.125 <frozen importlib._bootstrap>:664(_load_unlocked)
     6113    0.002    0.000    0.004    0.000 sre_parse.py:255(get)
      286    0.002    0.000    0.008    0.000 overrides.py:88(verify_matching_signatures)
      767    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:125(release)
       28    0.002    0.000    0.003    0.000 __init__.py:328(namedtuple)
   559/65    0.002    0.000    0.955    0.015 <frozen importlib._bootstrap>:1053(_handle_fromlist)
      375    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
    10034    0.001    0.000    0.001    0.000 multiarray.py:1071(copyto)
    13785    0.001    0.000    0.001    0.000 {built-in method builtins.id}
    10000    0.001    0.000    0.001    0.000 numeric.py:72(_zeros_like_dispatcher)
      104    0.001    0.000    0.011    0.000 lines.py:276(__init__)
       44    0.001    0.000    1.114    0.025 __init__.py:1(<module>)
     1242    0.001    0.000    0.002    0.000 __init__.py:2014(_setattr_cm)
     4013    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
       28    0.001    0.000    0.004    0.000 enum.py:180(__new__)
      238    0.001    0.000    0.002    0.000 artist.py:149(__init__)
    394/8    0.001    0.000    0.999    0.125 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
       13    0.001    0.000    0.001    0.000 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
      622    0.001    0.000    0.005    0.000 _inspect.py:96(getargspec)
  515/226    0.001    0.000    0.025    0.000 sre_parse.py:436(_parse_sub)
     1470    0.001    0.000    0.005    0.000 {built-in method builtins.any}
1378/1377    0.001    0.000    0.005    0.000 __init__.py:276(process)
     5399    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
      436    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
      513    0.001    0.000    0.001    0.000 core.py:455(__init__)
      279    0.001    0.000    0.011    0.000 font_manager.py:658(__init__)
    10000    0.001    0.000    0.001    0.000 multiarray.py:80(empty_like)
    10349    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
        2    0.001    0.001    0.003    0.002 decoder.py:343(raw_decode)
       84    0.001    0.000    0.001    0.000 {built-in method _imp.source_hash}
    10584    0.001    0.000    0.001    0.000 {function RcParams.__getitem__ at 0x7fcfd437c280}
      633    0.001    0.000    0.001    0.000 __init__.py:1730(<dictcomp>)
      188    0.001    0.000    0.001    0.000 colors.py:1001(<listcomp>)
      942    0.001    0.000    0.001    0.000 {built-in method numpy.asarray}
      313    0.001    0.000    0.004    0.000 function_base.py:475(add_newdoc)
   102/12    0.001    0.000    0.004    0.000 core.py:3816(streamline)
